Disciplina;Turma;Docente;Horario;Local;Situacao;Vagas
GCETENS511 - ACESSIBILIDADE FÍSICA E DESENHO UNIVERSAL;Turma 01;LUCIENE GOMES (68h);46T23;LAB 03;ABERTA;2/30 alunos
GCETENS302 - ADMINISTRAÇÃO;Turma 01;FABIHANA SOUZA MENDES MIRANDA (68h);35M23;SALA 207;ABERTA;49/50 alunos
GCETENS302 - ADMINISTRAÇÃO;Turma 02;FABIHANA SOUZA MENDES MIRANDA (68h);35T23;SALA 203;ABERTA;9/50 alunos
GCETENS219 - ADMINISTRACAO DA PRODUCAO;Turma 01;BRUNO DE MENEZES MOREIRA (68h);24M23;SALA 208;ABERTA;10/30 alunos
GCETENS132 - ALGEBRA LINEAR I;Turma 01;JEAN PAULO DOS SANTOS CARVALHO (51h);3M456;SALA 204;ABERTA;15/45 alunos
GCETENS132 - ALGEBRA LINEAR I;Turma 02;KATYA SILENE PORTO RODRIGUES (51h);3T123;SALA 01;ABERTA;27/45 alunos
GCETENS376 - ANATOMIA E FISIOLOGIA;Turma 01;RENATA DE SOUSA MOTA (68h);35M45;LAB 03;ABERTA;3/30 alunos
GCETENS321 - AUTOMAÇÃO INDUSTRIAL E DE SISTEMAS DE MANUFATURA;Turma 01;BRUNO DE MENEZES MOREIRA (68h);4T23 6T45;LAB 103;ABERTA;6/30 alunos
GCETENS120.P - BASES TEORICAS E EXPERIMENTAIS DA FISICA- PRATICA;Turma 05;REJANE CRISTINA DORN (34h);3M45;LAB 04;ABERTA;2/15 alunos
GCETENS120.P - BASES TEORICAS E EXPERIMENTAIS DA FISICA- PRATICA;Turma 06;JEMIMA PEREIRA GUEDES (34h);3T23;LAB 08;ABERTA;6/15 alunos
GCETENS120.P - BASES TEORICAS E EXPERIMENTAIS DA FISICA- PRATICA;Turma 07;JOAO PAULO CAVALCANTE OLIVEIRA (17h) e ROSIVALDO XAVIER DA SILVA (17h);3T45;LAB 08;ABERTA;12/15 alunos
GCETENS120.T - BASES TEORICAS E EXPERIMENTAIS DA FISICA- TEORICA;Turma 03;ANDREIA DOS SANTOS SIMOES (34h);2T45;SALA 202;ABERTA;15/30 alunos
